"";"phi";"tht";"PHI";"THT"
"Jan";0,817157797673538;0,0831039269948032;0,182129107921636;0,202998263702106
"Fev";0,677414435155869;-0,225782094396151;-0,695096113877291;-1,03378263643602
"Mar";0,776166689162935;0,106292785952242;-0,617043987634127;-0,432336723255038
"Abr";0,237411084695937;-0,462962011115833;-0,609903925246253;-1,04118526588525
"Mai";0,980158192910793;0,225885830348795;0,698065442539137;0,569845636439877
"Jun";0,887044444856145;0,0824278420210853;-0,0408355610903003;-0,464935013752482
"Jul";0,837115613495404;-0,413586608386594;0,804597408311533;0,589339833227195
"Ago";0,937886483165868;-0,131158313548798;0,645527227690404;0,525030480286347
"Set";0,917301026047181;-0,544400542514014;-0,21761836531663;-0,188589331494309
"Out";1,04592004919743;0,647790065097461;0,566665200884556;0,699843564534958
"Nov";0,871649353829213;-0,367093244752043;-0,547897651136215;-0,520789047746911
"Dez";0,818132483346895;-0,379247710360191;0,749311501311445;1,05847682418645
